name,type,category,fdc_id,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Apple (Fuji),fruit,Pome,1750340,,0.1484375,0.1625,15.6511625,2.075,13.33,83.61,,0.00625,0.0675,0.09063,,0.03544,0.0,,,,,,5.975,0.015,4.67,9.78,103.8,1.013,0.01676,0.03279,0.03263,
Apple (Gala),fruit,Pome,1750341,,0.1328125,0.15,14.7680875,2.109,11.83,84.65,,0.01125,0.06875,0.08938,,0.03175,0.8125,,,,,,6.639,0.06013,4.947,8.435,105.9,0.2788,0.02349,0.03394,0.04004,
Apple (Granny Smith),fruit,Pome,1750342,,0.265625,0.1375,14.142975,2.514,10.65,85.14,,0.01688,0.075,0.11,,0.02788,0.0,,,,,,5.483,0.06963,5.055,9.859,115.9,0.0,0.02276,0.03544,0.03934,
Apple (Red Delicious),fruit,Pome,1750339,,0.1875,0.2125,14.7817,2.043,12.22,84.67,,0.00875,0.06625,0.09,,0.02131,0.0,,,,,,4.656,0.0,4.695,9.183,95.31,0.0,0.01964,0.02429,0.02948,
Apple (Honeycrisp),fruit,Pome,1750343,,0.1015625,0.1,14.6819375,1.721,12.37,85.03,,0.00875,0.07375,0.07375,,0.03275,0.0,,,,,,3.874,0.0,4.151,7.852,98.04,0.1375,0.01828,0.0234,0.0397,
Pear (Bartlett),fruit,Pome,746773,57.0,0.38,0.16,15.1,3.1,,84.1,1.0,0.012,0.026,0.164,0.042,0.026,6.0,,4.4,,,,8.0,0.17,5.7,10.0,87.0,7.0,0.07,0.07,0.032,0.2
Pear (Bosc),fruit,Pome,746773,57.0,0.38,0.16,15.1,3.1,,84.1,1.0,0.012,0.026,0.164,0.042,0.026,6.0,,4.4,,,,8.0,0.17,5.7,10.0,87.0,7.0,0.07,0.07,0.032,0.2
Pear (Asian),fruit,Pome,746773,57.0,0.38,0.16,15.1,3.1,,84.1,1.0,0.012,0.026,0.164,0.042,0.026,6.0,,4.4,,,,8.0,0.17,5.7,10.0,87.0,7.0,0.07,0.07,0.032,0.2
Crabapple,fruit,Pome,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Loquat,fruit,Pome,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Orange (Navel),fruit,Citrus,746771,47.0,0.91,0.15,11.8,2.0,,86.7,,0.068,0.051,0.425,0.261,0.079,25.0,,59.1,,,,43.0,0.33,10.7,23.0,166.0,9.0,0.11,0.064,0.029,0.0
Orange (Valencia),fruit,Citrus,746771,47.0,0.91,0.15,11.8,2.0,,86.7,,0.068,0.051,0.425,0.261,0.079,25.0,,59.1,,,,43.0,0.33,10.7,23.0,166.0,9.0,0.11,0.064,0.029,0.0
Orange (Blood),fruit,Citrus,746771,47.0,0.91,0.15,11.8,2.0,,86.7,,0.068,0.051,0.425,0.261,0.079,25.0,,59.1,,,,43.0,0.33,10.7,23.0,166.0,9.0,0.11,0.064,0.029,0.0
Lemon,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Lime,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Grapefruit (White),fruit,Citrus,1104962,35.0,0.89,0.13,7.68,1.2,,91.3,,,,,,,,,,,,,21.0,0.15,9.3,29.0,141.0,2.0,0.12,0.047,0.099,0.0
Grapefruit (Pink/Red),fruit,Citrus,2346408,,1.2425,0.2138,6.7899,,,91.14,,,,,,0.1789,,,53.88,,,0.0,30.99,0.0,13.3,35.84,269.1,11.72,0.245,0.0035,0.3094,
Tangerine,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Mandarin,fruit,Citrus,2710832,,1.039375,0.4575,13.421825,1.328,,84.65,,,,,,,,,21.2,,,,43.96,0.0,12.59,19.71,167.2,0.0,0.06869,0.04271,0.05009,
Clementine,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Kumquat,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Pomelo,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Yuzu,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Tangelo,fruit,Citrus,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Strawberry,fruit,Berry,2346409,,0.640625,0.22,7.964375,,,90.83,,,,,,,,,59.62,,,,16.9,0.255,12.52,22.98,160.7,0.0,0.114,0.03471,0.3675,
Blueberry,fruit,Berry,2346411,,0.703125,0.3063,14.571775,,,84.19,,,,,,,,,8.059,,,,11.69,0.3398,6.179,12.96,85.64,0.0,0.08534,0.04605,0.4228,
